"","jour","St. Johns","Halifax","Sydney","Yarmouth","Charlottvl","Fredericton","Scheffervll","Arvida","Bagottville","Quebec","Sherbrooke","Montreal","Ottawa","Toronto","London","Thunder Bay","Winnipeg","The Pas","Churchill","Regina","Pr. Albert","Uranium City","Edmonton","Calgary","Kamloops","Vancouver","Victoria","Pr. George","Pr. Rupert","Whitehorse","Dawson","Yellowknife","Iqaluit","Inuvik","Resolute"
"feb04",35,4.1,4.4,4.1,4.6,3.6,4.3,1.4,1.7,2.9,1.8,2.7,1.8,1.4,1,1.9,1.1,0.6,0.2,0.2,0.5,0.3,0.4,0.6,0.4,0.5,4.5,3.9,1.6,9.1,0.4,0.6,0.3,1.2,0.7,0.2
"feb05",36,5,4.4,3.7,4.4,3.2,3.2,1.4,0.7,1.6,1.5,2.6,2.4,1.5,0.9,1.4,0.6,0.3,0.3,0.2,0.5,0.3,0.8,0.7,0.2,0.5,2.1,2.3,0.7,5.7,0.6,0.4,0.8,0.6,0.5,0.1
"feb06",37,5.8,2.5,3.7,1.5,2.5,1.4,1.5,0.8,0.6,1.1,1.4,1.1,1.2,1,1,0.5,0.3,0.5,0.7,0.3,0.3,0.3,0.4,0.1,0.2,2.9,1.4,1,9.2,0.3,0.7,0.3,0.5,0.5,0.1
"feb07",38,3.7,4.5,2.7,3.4,2.9,2.5,1.2,1.1,0.8,1.5,1.8,1.2,1.2,0.9,1.2,0.2,0.2,0.3,0.8,0.3,0.4,0.6,0.4,0.3,0.4,2.5,1.8,0.4,11.5,0.5,0.8,0.5,0.5,0.4,0.1
"feb08",39,6.8,4.7,6.3,4.9,3.7,3,1.4,1.5,1.3,3,2.7,2.1,1.6,0.7,1.2,0.3,0.1,0.6,0.5,0.3,0.6,0.7,0.3,0.1,0.3,2.5,2.5,1.2,9.1,0.3,0.4,0.5,0.5,0.2,0
"feb09",40,4.8,2.4,4.6,3,2.3,1.2,1.3,0.9,1.2,0.8,1,0.6,0.9,0.4,1.3,0.9,0.7,0.7,0.5,0.1,0.3,0.5,0.1,0.2,0.5,3.8,2.8,1.7,9.1,0.5,0.6,0.3,0.4,0.4,0.3
"feb10",41,4.4,5.5,4.9,3.2,3.3,3,1.9,1.1,1.2,1.8,0.9,1.2,2.5,1.9,2.8,0.8,0.5,0.5,0.5,0.5,0.3,0.8,0.5,0.3,0.5,3.4,2.4,1.2,7.4,0.4,0.7,0.8,0.3,0.4,0.2
"feb11",42,4.4,2.5,4.2,2.5,1.7,1,1.6,1,1.3,2.1,1.5,1.3,1.7,0.9,1.8,0.6,0.2,0.4,0.6,0.4,0.8,0.3,0.6,0.4,0.3,4.8,4.9,1.6,7.8,0.4,0.3,0.1,0.6,0.5,0
"feb12",43,3.5,3.4,3.1,4.4,2.9,1.9,0.8,2,0.9,2.2,1.6,1.5,1.6,1.9,2,0.7,0.8,1.3,0.3,0.3,1.2,0.2,0.4,0.3,0.3,6.5,4.9,1.3,6.9,0.4,0.7,0.5,1.3,0.2,0
"feb13",44,4.4,6.7,5.4,4.6,4.5,5,1.6,3.8,2.9,4.2,3.3,4.1,3.9,2.4,2.8,1.9,0.9,0.6,0.5,0.4,0.6,1.2,1,0.4,0.6,4.9,3.8,1.3,6,0.3,0.9,0.6,0.8,0.4,0
"feb14",45,6.9,6.9,7.2,3,4,2.8,1.3,1.8,1.5,2,1.5,1.3,2,1.4,1.8,0.5,0.3,0.7,0.3,0.2,0.6,1,0.3,0.4,0.2,5.5,3,1.3,10.9,0.6,0.7,0.5,0.9,0.3,0.1
"feb15",46,5.7,2.1,3.5,3.1,2.5,2.2,1.5,3.2,2.2,2.6,3.5,2.6,1.9,2.3,3.1,1,0.9,0.7,0.3,0.6,0.6,0.7,0.5,0.4,0.8,6.1,4.7,1.4,7,0.8,0.7,0.4,0.7,0.2,0.1
"feb16",47,5.9,4.2,4.5,5.9,3.4,2.4,0.7,1.2,2,2.1,1.7,1.8,1.5,1,1.6,1.1,0.3,0.4,0.7,0.5,0.4,0.5,0.5,0.3,0.5,4.8,3.3,1.7,8.6,0.5,0.6,0.5,1.1,0.5,0.3
"feb17",48,3.9,4.7,4.9,2.3,4.1,1.8,1.1,2.3,1.3,1.9,1.2,1,1.1,0.6,1.1,0.6,1,0.7,0.2,0.3,0.4,0.5,0.5,0.3,0.5,5.6,5.2,1.5,5.8,0.4,0.4,0.3,0.5,0.2,0.1
"feb18",49,2.3,1.5,1,2.4,1.3,1,0.6,1.2,1.2,1.7,1.2,1.5,1.2,1.7,2,1.3,0.2,0.3,0.2,0.3,0.6,0.3,0.4,0.2,0.6,5.8,3.9,1.3,9.6,0.5,0.4,0.2,0.5,0.1,0.1
"feb19",50,2.3,2.3,3.1,2.1,2.8,2.6,1,2.5,2.6,4.3,2.8,3.4,3,1.7,1.7,1.1,0.4,0.8,0.1,0.3,0.4,0.4,0.9,0.3,0.5,5.1,3.7,1.1,9.8,0.3,0.6,0.3,0.3,0.2,0
"feb20",51,4.1,6.5,5.4,4.5,4.2,4,0.9,2.7,1.8,3.3,2.2,1.8,2.3,0.9,1,1.1,0.4,0.9,0.5,0.2,0.6,0.4,0.6,0.4,0.2,3.1,3.1,0.5,11.1,0.4,1,1,0.4,0.3,0.1
"feb21",52,3.7,2.1,3.9,3.1,2.8,2.7,1.5,1.8,2.4,3.1,2.6,2,2.5,1.9,2.5,0.7,0.4,0.7,1.4,0.3,0.4,0.3,0.7,0.8,0.4,3.1,3,0.8,10,0.6,0.5,0.6,0.6,0.4,0
"feb22",53,5.5,5,6.3,4.3,5,4.1,0.9,1.8,2.5,3.9,3.2,3.2,3.4,3,5,1.8,0.6,0.3,0.5,0.7,0.3,0.7,0.8,0.3,0.5,2.5,2.1,1,7.9,0.4,0.4,0.5,0.5,0.5,0.1
"feb23",54,5.1,3.6,5.5,3.8,3,2.7,1.2,2.1,1.5,2.4,3.4,2.4,4.2,2.7,3.8,1.2,0.5,0.4,0.3,0.3,0.4,0.6,0.6,0.1,0.5,3.9,3.5,1.3,4.2,0.3,0.6,0.1,0.6,0.6,0.2
"feb24",55,4,5.7,3.8,5.5,3.7,4.4,1,2.1,1.6,2.9,2.9,3.4,3.5,2.5,2.6,0.7,0.7,0.5,0.1,0.5,0.3,0.4,0.4,0.3,0.8,3.4,3.3,0.9,6.1,0.4,0.4,0.4,0.6,0.5,0.2
"feb25",56,5.1,5.9,5.2,6.9,3.9,4,0.7,1,2.1,3.6,2.5,3,2.4,2.6,2.5,0.5,0.9,0.3,0.4,0.4,0.2,0.6,0.3,0.5,0.5,3.7,3.6,0.8,5.7,0.4,0.1,0.5,0.9,0.3,0.2
"feb26",57,7.7,6.1,7.7,3.8,5.1,3.5,0.9,1.7,1.3,1.7,1.3,1.1,1,1.1,1.5,1.4,0.4,0.2,0.3,0.6,0.4,0.4,0.9,0.3,0.3,4.9,3.9,1.1,7.4,0.3,0.4,0.3,0.9,0.9,0.1
"feb27",58,4.6,1.8,2.8,1,1.8,1.6,1.2,0.7,1.7,1.7,1.2,1.5,1.2,0.8,1.2,1.3,0.4,0.4,0.3,1.3,0.7,0.2,1.5,0.7,0.6,3.5,3.6,0.7,6.8,0.2,1,0.6,0.5,0.6,0.1
"feb28",59,5.4,3.1,3,2.3,1.3,1.4,0.9,1.8,1.1,1.7,1.6,1.7,2.5,1.1,1.9,0.8,0.9,0.6,0.4,0.6,0.9,0.6,0.4,0.6,1,4.5,3.7,1.2,5.1,0.5,0.4,0.5,0.8,0.7,0.1
"mar01",61,5.9,4.3,5.1,2.9,3.9,2.7,0.9,1.8,1.6,3,2.5,3,3.3,1.7,2.1,0.8,0.2,1,0.8,0.6,0.5,0.3,0.4,0.6,0.7,4,3.3,0.9,4,0.5,0.4,0.2,0.5,0.5,0.3
"mar02",62,6.3,4.4,6.2,3.5,2.4,3.5,1.3,1,2.5,2,2.3,1.6,1.6,1.5,1.7,0.7,1,0.4,0.2,1.6,0.6,0.4,0.8,0.4,0.5,4.2,3,0.7,5.5,0.5,0.4,0.5,0.6,0.2,0.4
"mar03",63,6.2,3.9,3.1,2,3.5,3.8,1.1,0.5,0.6,0.6,2,1,0.8,0.4,1.4,1.9,1.1,0.5,0.7,0.3,0.3,0.7,0.2,0.2,0.2,3.2,2.6,1.1,6,0.7,0.6,0.4,0.4,0.4,0.2
"mar04",64,5,5.8,5.4,4.1,3.2,3,1.2,1.5,1.8,3.9,4.5,5.7,5.6,4.5,6,1.5,1.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.4,5.2,4.2,0.7,8.5,0.3,0.3,0.4,0.2,0.4,0.1
"mar05",65,3.6,3,4.1,3.2,3.8,5.1,1.3,2.6,2.2,5.7,5.3,3.3,2.3,2.2,2.3,0.9,0.4,0.2,0.8,0.2,0.3,0.6,0.2,0.2,0.8,4.8,4.6,0.8,5,0.2,0.8,0.5,0.3,0.3,0.1
"mar06",66,3.4,2.6,2.7,2.6,2.1,1.8,1,2.1,1.6,2.6,2,2.8,1.5,2,2.5,1,1.3,0.9,0.3,0.5,0.6,0.7,0.4,0.4,0.4,2.6,2.3,1.1,5.8,0.4,0.3,0.4,0.5,0.5,0.2
"mar07",67,2.7,3.6,4.1,4.6,3.8,3.3,0.7,1.7,1.9,3.3,2.7,2.3,1.8,0.8,1.5,1.2,1.1,0.6,1.2,0.4,0.6,0.3,0.5,0.2,0.3,2.8,2.2,1.1,5.3,0.6,0.4,0.1,0.4,0.7,0.1
"mar08",68,5.1,6.3,7.2,4.2,4,4.4,0.6,0.7,1.3,2,1.7,1.1,0.8,2.1,1.8,1,0.8,0.6,0.7,0.5,0.7,0.5,0.9,0.3,0.1,3.2,2.5,1.4,9.5,0.6,0.2,0.4,1,0.2,0.1
"mar09",69,2.1,1.9,3,1.4,1.7,1.7,0.7,1.2,1,2.2,2.1,1.4,1.2,1.1,1.5,0.8,0.6,0.5,0.3,0.3,0.4,1,0.7,0.4,0.3,4.4,2,1.5,6.4,0.4,0.5,0.7,0.4,0.2,0
"mar10",70,3,3.6,3,3.7,2.9,3.8,0.6,2.1,1.8,3.2,2.5,1.4,1.9,1.8,1.6,0.8,0.4,0.4,0.7,0.5,0.8,0.7,0.7,0.5,0.4,3.5,2.4,1.2,5,0.3,0.1,0.4,0.4,0.4,0
"mar11",71,8.1,6.2,4.9,4.9,4,2.6,1.5,1.7,1.8,3.9,2.3,1.4,1.5,1.8,2.2,1.1,0.2,0.4,0.6,0.8,0.5,0.3,1.2,0.8,0.1,3.3,1.7,0.7,5.2,0.3,0.3,0.8,0.9,0.4,0.3
"mar12",72,6.5,3.1,3.3,3.7,4.1,2.5,1.3,1.9,1.3,2,2.7,2.7,3.6,2.5,3,2.7,1.2,1,0.6,1.1,0.6,0.8,0.3,0.3,0.5,4.5,2.2,0.9,6.1,0.2,0.5,0.4,1,0.7,0.1
"mar13",73,2.8,5.5,4.2,4.6,1.9,3.2,0.7,1.9,1.9,3.5,3.5,3.4,3.6,2.5,2.1,1.5,0.8,0.3,0.6,0.4,0.2,0.1,0.9,0.4,0.3,2.4,2.8,0.6,5.8,0.3,0.3,0.2,0.3,0.3,0.3
"mar14",74,3.2,6.9,6,6.8,4.4,6.5,1,2,1.9,4.5,2.4,2.5,2.4,2.4,2.5,2,1.3,0.7,0.8,0.7,0.9,0.5,0.5,0.3,0.2,3.6,2,0.6,3.7,0.2,0.7,0.7,1,0.3,0.2
"mar15",75,4,6.9,5.2,5.8,4.9,3.7,2.1,1.2,2,1.7,1.8,1,1.1,0.4,0.9,1.1,0.5,1,0.4,0.4,0.3,0.5,0.4,0.5,0.2,4.5,3.1,1.2,7.6,0.5,0.9,0.4,0.5,0.3,0.1
"mar16",76,5.8,3.5,4.7,1.7,3.4,1.8,1.4,1,1.4,1.9,1.8,1.3,2,2.1,3,1.3,0.2,0.1,0.5,0.2,0.2,0.4,0.2,0.7,0.6,3.3,1.9,2.5,6.2,0.3,0.8,0.5,1.2,0.4,0.1
"mar17",77,4.2,5.1,4.1,4,4.1,6.2,1.2,2.5,3,4,4.9,3.6,3.2,2.6,3.2,0.4,0.3,0.3,0.5,0.3,0.7,2.2,0.6,0.4,0.3,3.8,2.7,1.1,6.3,0.5,0.5,0.7,0.8,0.2,0.1
"mar18",78,6.2,4.4,6.6,3.9,4.6,4.2,0.6,0.7,1.6,2.1,2.8,1.3,1.3,1.6,2.6,1.3,0.2,0.8,0.6,0.7,0.2,0.7,0.3,0.2,0.1,1.9,1.4,1,7,0.6,0.1,0.2,0.8,0.4,0.2
"mar19",79,3.9,4.4,4,3.8,2.3,1.9,1.3,1.2,1.1,3.2,1.8,1.3,2.2,1.8,1.6,0.9,0.5,0.5,0.2,1,0.5,0.3,0.6,0.3,0.1,2.2,1.4,1.2,5.7,0.6,0.6,0.2,0.6,0.6,0.2
"mar20",80,3.9,3.6,2.9,1.6,1.3,1.4,1.7,1,2.1,3.1,2.4,2.7,1.4,1.2,2.1,0.8,0.7,0.7,0.4,0.5,0.6,0.9,0.6,0.3,0.2,4,2,1.5,5.1,0.3,0.3,0.4,1,0.2,0.3
"mar21",81,5.3,5,5.3,3.3,2.6,3.4,1.2,1.4,1.3,3.5,3.4,3.1,4.2,3.5,4.1,1,0.1,1.6,0.3,0.4,0.4,1.2,0.9,0.5,0.3,2.5,1.6,1.4,4.3,0.3,0.2,0.4,0.3,0.2,0.2
"mar22",82,3.4,2.4,3.7,1.9,1.7,2.1,0.8,2.5,1.2,2.7,1.8,2.1,2.5,1.8,3.4,1.3,0.3,0.2,0.5,0.1,0.3,0.8,0.2,0.7,0.3,5.3,3.5,0.9,7.1,0.1,0.2,0.2,0.5,0.3,0.2
"mar23",83,3.4,6.5,4,2.2,3.7,2.6,1.7,2.6,2.6,2.6,1.9,2.4,1.7,1.3,2.1,1.3,0.9,0.2,0.3,0.1,0.9,0.2,0.9,0.9,0.2,3.3,2.6,0.7,5.1,0.2,0.5,0.5,0.5,0.4,0.4
"mar24",84,4.1,2.6,3.2,1.8,2.1,1.6,1.6,0.6,1.6,0.8,0.9,1.2,1.9,1.2,2.2,1.4,0.4,0.7,0.6,0.7,1.5,0.9,0.4,0.3,0.2,2.4,1.7,0.9,4,0.4,0.1,0.5,0.5,0.2,0.5
"mar25",85,3.1,2.5,4.9,2.4,2.3,1.6,2.2,1.2,1.1,1.4,2,2,2.2,1.6,2.8,0.8,1.4,0.8,0.3,0.4,1,0.5,0.4,0.4,0.5,3.8,2.6,1.3,6.1,0.3,0.2,0.2,0.9,0.3,0.2
"mar26",86,4.9,3.1,4.2,2.2,2,2.7,2.4,3.1,2,3.2,2.6,3.6,2.3,1.1,1.9,1.2,0.8,0.8,0.8,1.1,0.2,0.9,0.2,0.8,0.2,2.7,1.8,0.6,4.6,0.5,0.2,0.2,0.9,0.6,0.2
"mar27",87,4.2,4.5,4.1,3.8,2.1,3.9,3.7,2,2.8,3.6,2.2,2.4,2.6,2.2,2.1,2,1,0.7,1,0.8,0.9,0.6,0.5,0.6,0.3,2.3,1.6,0.9,6.2,0.4,0.3,0.2,0.4,0.3,0.2
"mar28",88,3.2,3,5.6,2.3,3.4,2.2,1.7,1.4,1.8,2.1,1.9,1.1,1.1,1,1.5,2,0.8,0.7,0.7,1,0.4,0.3,0.3,0.2,0.3,3.6,1.6,1.2,7.9,0.7,0.1,0.2,1.1,0.1,0.2
"mar29",89,1.9,2,2.5,3.1,1.3,1.6,1.6,0.9,1.7,1.4,1.7,0.7,0.8,0.9,1.5,1.5,0.5,1,0.9,0.2,0.3,0.3,0.1,0.8,0.4,3.8,1.6,0.9,5.5,0.1,0.3,0.4,0.7,0.5,0.1
"mar30",90,2.7,2,3.9,2.9,2.7,1.2,2,1.3,0.9,1.8,1.8,1.9,2.1,1.7,3.8,2.2,0.8,1.1,0.8,0.5,0.4,0.5,0.8,1.1,0.2,2.8,1,1.2,8.4,0.1,0.3,0.2,1,0.4,0.2
"mar31",91,3.2,5.6,5.9,3.7,3.7,3.2,2,1.8,1.8,2.6,2,2.4,2.3,2.3,3,1.2,1.1,1.3,0.7,0.3,0.7,0.5,0.3,0.4,0.2,2.9,1.8,0.3,7.2,0.2,0.2,0.3,1.4,0.5,0.2
"apr01",92,4,4.9,4.5,3.8,4,3.8,1.9,3.2,2.8,4.5,4.3,4.8,3.8,2.9,3.7,1.4,0.8,0.3,0.4,0.2,0.4,1.2,0.5,0.6,0.3,2.8,1.5,0.2,7.8,0.5,0.2,0.5,1.1,0.4,0.1
"apr02",93,2.4,5,5.2,4.1,3.3,4.8,1.2,1.4,1.6,2.8,3.6,4.2,4.2,3.7,4.1,1.6,0.9,0.4,0.4,0.2,0.3,0.5,0.2,0.4,0.5,1.6,1.3,0.7,4.4,0.2,0.4,0.5,0.8,0.3,0.1
"apr03",94,4.4,4,4,3.9,3.8,4.2,1.8,0.8,1.7,3.2,4.2,3.6,3.2,3.4,4,1.6,0.8,0.6,0.8,0.5,0.4,0.6,0.2,0.6,0.3,3.1,2.5,0.9,6.2,0.3,0.6,0.6,0.9,0.3,0.1
"apr04",95,2.5,5.5,4.4,4.3,3.8,4.5,2.7,2.7,2.8,2.8,2.9,4.4,4.4,2.7,3.4,0.9,0.3,0.2,0.4,0.1,0.2,0.6,0.5,0.6,0.5,4.2,2.7,0.8,8.5,0.2,0.4,0.4,1,0.5,0.1
"apr05",96,3.6,4.6,5.2,3.9,4,4,2.7,1.9,2.7,3.4,3.7,2.5,2.8,1.7,2.7,0.5,0.5,0.3,0.7,0.5,0.4,0.4,1.3,0.7,0.7,3.4,2.8,1.1,6.7,0,0.3,0.6,0.8,0.8,0.1
